id,url,source_id,country,title,page_url,doc_types,mw_values,mw_bucket,relevance,local_path,size_bytes,fetched_at
2,https://www.eva.gov.lv/lv/media/2694/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0002_download,480565,2026-09-07 19:44:46
3,https://www.eva.gov.lv/lv/media/2751/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0003_download,182366,2026-09-07 19:44:48
4,https://www.eva.gov.lv/lv/media/2632/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0004_download,334521,2026-09-07 19:44:50
5,https://www.eva.gov.lv/lv/media/5643/download?attachment,lv_vpvb,LV,Rekomendācijas ietekmes uz vidi novērtējuma procesa optimizācijai Latvijā,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,description,,,0,data/LV/lv_vpvb/0005_download,1639017,2026-09-07 19:44:53
6,https://www.eva.gov.lv/lv/media/4084/download?attachment,lv_vpvb,LV,Lēmums,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,permit,,,0,data/LV/lv_vpvb/0006_download,245074,2026-09-07 19:44:54
7,https://www.eva.gov.lv/lv/media/448/download?attachment,lv_vpvb,LV,Publiskais pārskats 2002,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0007_download,1376889,2026-09-07 19:44:57
8,https://www.eva.gov.lv/lv/media/2699/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0008_download,525642,2026-09-07 19:44:58
9,https://www.eva.gov.lv/lv/media/7068/download?attachment,lv_vpvb,LV,Salaspils novada teritorijas plānojuma monitoringa ziņojums (2013. - 2023. gads),https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0009_download,2916352,2026-09-07 19:45:03
10,https://www.eva.gov.lv/lv/media/3024/download?attachment,lv_vpvb,LV,Ziņojuma kopsavilkums latviešu valodā,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0010_download,262048,2026-09-07 19:45:04
11,https://www.eva.gov.lv/lv/media/1515/download?attachment,lv_vpvb,LV,Paziņojums par sabiedrības informēšanu par Baltijas atomelektrostacijas būvniecības Kaļiņingradā ietekmes uz vidi novērtējuma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,description,,,0,data/LV/lv_vpvb/0011_download,262048,2026-09-07 19:45:06
12,https://www.eva.gov.lv/lv/media/2316/download?attachment,lv_vpvb,LV,Atzinums.doc,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0012_download,267776,2026-09-07 19:45:08
13,https://www.eva.gov.lv/lv/media/2732/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0013_download,229365,2026-09-07 19:45:09
15,https://www.eva.gov.lv/lv/media/2687/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0014_download,1032893,2026-09-07 19:45:12
16,https://www.eva.gov.lv/lv/media/447/download?attachment,lv_vpvb,LV,Publiskais pārskats 2003,https://www.eva.gov.lv/lv/search?q=termoelektrostacija,,,,0,data/LV/lv_vpvb/0015_download,1770609,2026-09-07 19:45:15
21,https://www.eva.gov.lv/lv/media/2368/download?attachment,lv_vpvb,LV,SIA “Carbon energy systems” 2014.gada 27.februāra vēstule Nr.PB02/1.,https://www.eva.gov.lv/lv/ietekmes-uz-vidi-novertejumu-projekti/kokoglu-razotnes-un-kogeneracijas-stacijas-buvnieciba-aluksnes-pilsetas-teritorija,,,,0,data/LV/lv_vpvb/0016_download,21584,2026-09-07 19:45:33
23,https://www.eva.gov.lv/lv/media/2804/download?attachment,lv_vpvb,LV,Atzinums par noslēguma ziņojumu,https://www.eva.gov.lv/lv/ietekmes-uz-vidi-novertejumu-projekti/bistamo-atkritumu-lidzsadedzinasanai-kogeneracijas-stacija-saldus-novada-novadnieku-pagasta,,,,0,data/LV/lv_vpvb/0017_download,1379889,2026-09-07 19:46:01
24,https://www.eva.gov.lv/lv/media/2805/download?attachment,lv_vpvb,LV,Pašvaldības akcepta lēmums,https://www.eva.gov.lv/lv/ietekmes-uz-vidi-novertejumu-projekti/bistamo-atkritumu-lidzsadedzinasanai-kogeneracijas-stacija-saldus-novada-novadnieku-pagasta,permit,,,0,data/LV/lv_vpvb/0018_download,789427,2026-09-07 19:46:02
78,https://wykaz.ekoportal.pl/dokument/850075,pl_ekoportal,PL,Pozwolenie zintegrowane na prowadzenie instalacji energetycznego spalania paliw obejmującej kogeneracyjny blok gazowo-parowy w Elektrowni Pomorzany przy ul. Szczawiowej 25/26 w Szc [Urząd Marszałkowski Województwa Zachodniopomorskiego],https://wykaz.ekoportal.pl/CardList.seam,permit,,,1,,,2026-09-07 19:49:25
137,https://wykaz.ekoportal.pl/dokument/455917268,pl_ekoportal,PL,Wniosek o udzielenie zezwolenia na emisję gazów cieplarnianych z instalacji – Blok Gazowo-Parowy zlokalizowany w Głogowie przy ul. Żukowickiej 1. [Urząd Marszałkowski Województwa Dolnośląskiego],https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
138,https://wykaz.ekoportal.pl/dokument/455917272,pl_ekoportal,PL,Zezwolenie na emisję gazów cieplarnianych z instalacji - Blok Gazowo-Parowy zlokalizowany w Głogowie przy ul. Żukowickiej 1. [Urząd Marszałkowski Województwa Dolnośląskiego],https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
153,https://wykaz.ekoportal.pl/dokument/456088379,pl_ekoportal,PL,Wniosek o zmianę zezwolenia na emisję gazów cieplarnianych z instalacji – Blok Gazowo-Parowy zlokalizowany w Głogowie przy ul. Żukowickiej 1. [Urząd Marszałkowski Województwa Dolnośląskiego],https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
154,https://wykaz.ekoportal.pl/dokument/456103401,pl_ekoportal,PL,Zmiana zezwolenia na emisję gazów cieplarnianych z instalacji - Blok Gazowo-Parowy zlokalizowany w Głogowie przy ul. Żukowickiej 1. [Urząd Marszałkowski Województwa Dolnośląskiego],https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
160,https://wykaz.ekoportal.pl/dokument/456169606,pl_ekoportal,PL,"Wniosek w sprawie wydania decyzji o środowiskowych uwarunkowaniach przedsięwzięcia pn.: Budowa w systemie ""pod klucz"" nowego źródła energii elektrycznej i ciepła w oparciu o blok g [Urząd Miasta w Trzebini]",https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
161,https://wykaz.ekoportal.pl/dokument/456169607,pl_ekoportal,PL,"Postanowienie w sprawie potrzeby przeprowadzenia oceny oddziaływania przedsięwzięcia na środowisko pn.: Budowa w systemie ""pod klucz"" nowego źrodła energii elektrycznej i ciepła w  [Urząd Miasta w Trzebini]",https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
162,https://wykaz.ekoportal.pl/dokument/456171678,pl_ekoportal,PL,"Raport o oddziaływaniu przedsięwzięcia na środowisko pn.: Budowa w systemie „pod klucz” nowego źródła energii elektrycznej i ciepła w oparciu o blok gazowo-parowy, turbinę parową i [Urząd Miasta w Trzebini]",https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
171,https://wykaz.ekoportal.pl/dokument/459421815,pl_ekoportal,PL,Wniosek o udzielenie zezwolenia na emisję gazów cieplarnianych z instalacji - Blok Gazowo-Parowy zlokalizowany na terenie KGHM Polska Miedź S.A. Oddział Huta Miedzi „Głogów” ul. Żu [Urząd Marszałkowski Województwa Dolnośląskiego],https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
172,https://wykaz.ekoportal.pl/dokument/459421989,pl_ekoportal,PL,"Zezwolenie na emisję gazów cieplarnianych z instalacji - Blok Gazowo-Parowy zlokalizowany na terenie KGHM Polska Miedź S.A. Oddział Huta Miedzi „Głogów” ul. Żukowicka 1, 67-200 Gło [Urząd Marszałkowski Województwa Dolnośląskiego]",https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
188,https://wykaz.ekoportal.pl/dokument/464019498,pl_ekoportal,PL,"Wniosek o zatwierdzenie planu metodyki monitorowania dla instalacji pn. Blok Gazowo-Parowy w Głogowie, zlokalizowanej przy ul. Żukowickiej 1 w Głogowie. [Urząd Marszałkowski Województwa Dolnośląskiego]",https://wykaz.ekoportal.pl/CardList.seam,,,,1,,,2026-09-07 19:49:25
199,https://wykaz.ekoportal.pl/dokument/464174815,pl_ekoportal,PL,"Decyzja zatwierdzajaca plan metodyki monitorowania dla instalacji pn. Blok Gazowo-Parowy w Głogowie, zlokalizowanej przy ul. Żukowickiej 1 w Głogowie. [Urząd Marszałkowski Województwa Dolnośląskiego]",https://wykaz.ekoportal.pl/CardList.seam,permit,,,1,,,2026-09-07 19:49:25
223,https://wykaz.ekoportal.pl/dokument/465163933,pl_ekoportal,PL,Wniosek w sprawie udzielenia pozwolenia zintegrowanego na prowadzenie instalacji energetycznego spalania paliw obejmującej dwa bloki gazowo – parowe (CCGT) klasy 700 MW każdy zloka [Urząd Marszałkowski Województwa Zachodniopomorskiego],https://wykaz.ekoportal.pl/CardList.seam,,700,>200 MW,1,,,2026-09-07 19:49:25
39,https://wykaz.ekoportal.pl/dokument/58981,pl_ekoportal,PL,umorzenie postępowania w spr. wydania decyzji o środowiskowych uwarunkowaniach zgody na realizację przedsięwzięcia polegającego na budowie elektrociepłowni gazowej [Urząd Miasta Mysłowice],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
40,https://wykaz.ekoportal.pl/dokument/59247,pl_ekoportal,PL,wniosek o wydanie decyzji o środowiskowych uwarunkowaniach zgody na realizację przedsięwzięcia polegającego na budowie elektrociepłowni gazowej na gaz z odmetanowania [Urząd Miasta Mysłowice],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
