country,institution,what_was_tried,what_exists,suggested_route
EE,Tallinn University of Technology,openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2021: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2022: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2023: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2024: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2025: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2026: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; oai-pmh https://digikogu.taltech.ee/oai/request?verb=Identify: egress_blocked: egress proxy denied CONNECT to digikogu.taltech.ee (organization network policy); host must be allowlisted; oai-pmh https://digikogu.taltech.ee: no OAI-PMH endpoint discovered (all candidate paths failed),Phase 0 pilot; DSpace-based Digikogu,repository https://digikogu.taltech.ee — verify endpoint manually
PL,Silesian University of Technology,openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2021: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2022: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2023: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2024: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2025: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; openaire https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2026: egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted; oai-pmh https://delibra.bg.polsl.pl/oai/request?verb=Identify: egress_blocked: egress proxy denied CONNECT to delibra.bg.polsl.pl (organization network policy); host must be allowlisted; oai-pmh https://delibra.bg.polsl.pl: no OAI-PMH endpoint discovered (all candidate paths failed),Phase 0 pilot; dLibra software,repository https://delibra.bg.polsl.pl — verify endpoint manually
TR,Istanbul Technical University,"yok https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp uni=İSTANBUL TEKNİK ÜNİVERSİTESİ year=2021: Error: Page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp
Call log:
  - navigating to ""https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp"", waiting until ""domcontentloaded""
; yok https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp uni=İSTANBUL TEKNİK ÜNİVERSİTESİ year=2022: Error: Page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp
Call log:
  - navigating to ""https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp"", waiting until ""domcontentloaded""
; yok https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp: aborting remaining years after 2 consecutive failures (host unreachable or site structure changed)",Phase 0 pilot; via YÖK Ulusal Tez Merkezi,YÖK Ulusal Tez Merkezi browser module (tier 3)
